Type|Name|Parameter|Class|Producer|Unit
Metric|SwapUsed||Memory|ProcMemInfo|bytes
Metric|SwapUtilization||Memory|ProcMemInfo|%
Metric|SystemTime|cmd|Process|ProcPidStat|s
Metric|TcpCurrEstab||Network|ProcNetSnmp|count
Metric|TcpInErrs||Network|ProcNetSnmp|count_s
Metric|TcpRetransSegs||Network|ProcNetSnmp|count_s
Metric|Temperature_Celsius|sda|Disk/Smart|smart|C
Metric|ThreadsUsed|cmd|Process|ProcPidStat|count
Metric|UDMA_CRC_Error_Count|sda|Disk/Smart|smart|count
Metric|UdpInDatagrams||Network|ProcNetSnmp|count_s
Metric|UdpInErrors||Network|ProcNetSnmp|count_s
Metric|UdpNoPorts||Network|ProcNetSnmp|count_s
Metric|Uncorrectable_Error_Cnt|sda|Disk/Smart|smart|count
Metric|Uptime||OS|SysInfo|_
Metric|UsedFiles|/|Disk|ProcMounts|count
Metric|UsedFiles|/boot/efi|Disk|ProcMounts|count
Metric|UsedFiles|/local|Disk|ProcMounts|count
Metric|UsedFiles|/var|Disk|ProcMounts|count
Metric|UsedSpace|/|Disk|ProcMounts|bytes
Metric|UsedSpace|/boot/efi|Disk|ProcMounts|bytes
Metric|UsedSpace|/local|Disk|ProcMounts|bytes
Metric|UsedSpace|/tmp|Disk|ProcMounts|bytes
Metric|UsedSpace|/var|Disk|ProcMounts|bytes
Metric|UserTime|cmd|Process|ProcPidStat|s
Metric|VR_P0_IOUT||environmental|ipmi|A
Metric|VR_P0_TEMP||environmental|ipmi|C
Metric|VR_P0_VIN||environmental|ipmi|V
Metric|VR_P0_VOUT||environmental|ipmi|V
Metric|VR_P1_IOUT||environmental|ipmi|A
Metric|VR_P1_TEMP||environmental|ipmi|C
Metric|VR_P1_VIN||environmental|ipmi|V
Metric|VR_P1_VOUT||environmental|ipmi|V
Metric|VirtualMemoryUsed|cmd|Process|ProcPidStat|bytes
Metric|WlmSlotsFree||Workload|WlmSlotSampler|count
Metric|WlmSlotsTotal||Workload|WlmSlotSampler|count
Metric|WlmSlotsUsed||Workload|WlmSlotSampler|count
Metric|WlmSlotsUtilization||Workload|WlmSlotSampler|%
Metric|WriteTime|nvme0n1|Disk|SysBlockStat|s
